Category,English Phrase,Traditional Chinese,Usage Note,Difficulty
Greetings,Good morning!,早安！,said when meeting someone in the morning,easy
Greetings,Good afternoon!,午安！,said when meeting someone in the afternoon,easy
Greetings,Good evening!,晚安！,said when meeting someone in the evening,easy
Greetings,Hi!,嗨！,casual informal greeting,easy
Greetings,Hello!,你好！,standard greeting for any time of day,easy
Greetings,Hey!,嘿！,very casual greeting between friends,easy
Greetings,You alright?,點呀？ / 近排點？,standard way to ask about someone's wellbeing,easy
Greetings,How are you doing?,你最近怎麼樣？,casual way to ask how someone is,easy
Greetings,How's it going?,最近還好嗎？,informal way to greet someone,easy
Greetings,How have you been?,你最近過得怎麼樣？,used when you haven't seen someone for a while,easy
Greetings,"Not too bad, cheers.",幾好呀，多謝。,standard polite response to 'How are you',easy
Greetings,"Yeah, good thanks.",我過得很好，謝謝。,casual positive response,easy
Greetings,"Not bad, thanks.",幾好 / 唔錯,neutral positive response,easy
Greetings,"Pretty good, thanks.",還挺好的，謝謝。,informal positive response,easy
Greetings,"Could be better, to be honest.",說實話，可以更好。,honest response when things aren't great,easy
Greetings,I've been busy lately.,我最近很忙。,common response explaining your situation,easy
Greetings,Same as always.,一如既往。,response meaning nothing has changed,easy
Greetings,Nice to meet you!,很高興認識你！,said when meeting someone for the first time,easy
Greetings,Nice to meet you too!,我也很高興認識你！,response when someone says nice to meet you,easy
Greetings,It's great to see you again!,很高興再次見到你！,said when reuniting with someone,easy
Greetings,Long time no see!,好久不見！,said after a long time apart,easy
Greetings,What a surprise!,真是個驚喜！,said when unexpectedly running into someone,easy
Greetings,I haven't seen you in ages!,我好久沒看到你了！,said after a very long time apart,easy
Greetings,Welcome!,歡迎！,greeting someone arriving at a place,easy
Greetings,Welcome back!,歡迎回來！,greeting someone returning,easy
Greetings,"Come in, please.",請進。,inviting someone to enter,easy
Greetings,Please have a seat.,請坐。,inviting someone to sit down,easy
Greetings,Make yourself at home.,請不要拘束。,telling a guest to feel comfortable,easy
Greetings,Can I get you anything?,我能為你拿點什麼嗎？,offering hospitality to a guest,easy
Greetings,What brings you here?,你怎麼來了？,asking why someone has come,easy
Farewells,"Cheers, see ya!",再見！,standard farewell,easy
Farewells,Bye!,拜拜！,casual farewell,easy
Farewells,Bye bye!,拜拜！,very casual farewell often used with children,intermediate
Farewells,See you later!,待會見！,saying goodbye when you'll see them again soon,intermediate
