Category,Word,Part of Speech,Traditional Chinese,Definition,Example Sentence,Difficulty
Nouns - Technology,phone,noun,電話手機,a device for communication,She checked her phone.,intermediate
Nouns - Technology,Mobile,noun,智能手機,a mobile phone with internet access,He got a new smartphone.,intermediate
Nouns - Technology,computer,noun,電腦,an electronic device for data processing,She works on a computer.,intermediate
Nouns - Technology,laptop,noun,手提電腦,a portable computer,He brought his laptop to the cafe.,intermediate
Nouns - Technology,tablet,noun,平板電腦,a portable touchscreen device,She reads on her tablet.,intermediate
Nouns - Technology,screen,noun,螢幕 / Mon,a flat surface displaying images,The screen cracked.,intermediate
Nouns - Technology,keyboard,noun,鍵盤,a set of keys for input,He typed on the keyboard.,intermediate
Nouns - Technology,mouse,noun,滑鼠 / Mouse,a pointing device for a computer,The mouse isn't working.,intermediate
Nouns - Technology,charger,noun,充電器,a device for charging batteries,I forgot my charger.,intermediate
Nouns - Technology,cable,noun,線,a wire transmitting power or data,Pass me the cable.,intermediate
Nouns - Technology,internet,noun,互聯網 / 上網,a global network of computers,The internet is down.,intermediate
Nouns - Technology,website,noun,網站,a set of pages on the internet,Visit our website.,intermediate
Nouns - Technology,app,noun,App,a software application,Download the app.,intermediate
Nouns - Technology,software,noun,軟件,programs that run on a computer,Update your software.,intermediate
Nouns - Technology,password,noun,密碼,a secret code for access,Change your password regularly.,intermediate
Nouns - Technology,username,noun,使用者名稱,a name used to log in,Enter your username.,intermediate
Nouns - Technology,email,noun,電子郵件,electronic mail,She sent an email.,intermediate
Nouns - Technology,message,noun,訊息,a piece of written communication,Did you get my message?,intermediate
Nouns - Technology,notification,noun,通知,an alert from a device,I turned off my notifications.,intermediate
Nouns - Technology,social media,noun,社群媒體,online platforms for sharing content,She spends time on social media.,intermediate
Nouns - Technology,camera,noun,相機,a device for taking photos,He took photos with his camera.,intermediate
Nouns - Technology,video,noun,影片,a moving image recording,She uploaded a video.,intermediate
Nouns - Technology,photo,noun,照片,a still image,He took a photo.,intermediate
Nouns - Technology,file,noun,檔案,a stored collection of data,Save the file.,intermediate
Nouns - Technology,folder,noun,資料夾,a directory for storing files,Put it in the folder.,intermediate
Nouns - Technology,cloud,noun,雲端,remote internet-based storage,Back it up to the cloud.,intermediate
Nouns - Technology,Wi-Fi,noun,無線網路,wireless internet connection,What is the Wi-Fi password?,intermediate
Nouns - Technology,Bluetooth,noun,藍牙,short-range wireless technology,Connect via Bluetooth.,intermediate
Nouns - Technology,printer,noun,印表機,a device for printing documents,The printer is out of ink.,intermediate
Nouns - Technology,speaker,noun,喇叭,a device for producing sound,Turn up the speaker.,intermediate
Nouns - Technology,headphones,noun,耳機,a device for listening to audio,She listened with headphones.,intermediate
Nouns - Technology,microphone,noun,麥克風,a device for recording sound,The microphone isn't working.,intermediate
Nouns - Technology,router,noun,路由器,a device for connecting to the internet,Restart the router.,intermediate
Nouns - Technology,data,noun,數據,information stored digitally,This uses a lot of data.,intermediate
Nouns - Technology,download,noun,下載,transferring data to a device,The download is complete.,easy
Nouns - Technology,upload,noun,上傳,sending data to a server,The upload is slow.,easy
Nouns - Technology,update,noun,更新,a new version of software,Install the update.,easy
Nouns - Technology,bug,noun,程式漏洞,an error in software,There is a bug in the system.,intermediate
Nouns - Technology,virus,noun,電腦病毒,malicious software,A virus infected the computer.,intermediate
Nouns - Technology,backup,noun,備份,a copy of data for safety,Make a backup of your files.,intermediate
Nouns - Technology,code,noun,程式碼,instructions written for a computer,She writes clean code.,intermediate
