Category,Word,Part of Speech,Traditional Chinese,Definition,Example Sentence,Difficulty
Nouns - People,person,noun,人,a human being,There is a person waiting outside.,easy
Nouns - People,man,noun,男人,an adult male human,The man smiled and waved.,easy
Nouns - People,woman,noun,女人,an adult female human,The woman ordered a coffee.,easy
Nouns - People,child,noun,孩子,a young human being,The child laughed at the puppy.,easy
Nouns - People,boy,noun,男孩,a male child,The boy kicked the ball.,easy
Nouns - People,girl,noun,女孩,a female child,The girl painted a picture.,easy
Nouns - People,baby,noun,嬰兒,a very young child,The baby fell asleep after feeding.,easy
Nouns - People,teenager,noun,青少年,a person aged 13 to 19,Teenagers often use social media.,easy
Nouns - People,adult,noun,成年人,a fully grown person,Only adults are allowed inside.,easy
Nouns - People,senior,noun,長者,an older person,Seniors get a discount on Tuesdays.,easy
Nouns - People,elderly,noun,老人,older people as a group,The elderly benefit from regular walks.,easy
Nouns - People,friend,noun,朋友,a person you know and like,My friend lives nearby.,easy
Nouns - People,family,noun,家庭,a group of related people,Family dinner is every Sunday.,easy
Nouns - People,mother,noun,母親,a female parent,My mother makes great soup.,easy
Nouns - People,father,noun,父親,a male parent,My father taught me to ride a bike.,easy
Nouns - People,parent,noun,父母,a mother or father,Both parents attended the school event.,easy
Nouns - People,sister,noun,姐妹,a female sibling,My sister is two years younger.,easy
Nouns - People,brother,noun,兄弟,a male sibling,My brother lives abroad.,easy
Nouns - People,son,noun,兒子,a male child of a parent,Their son just started school.,easy
Nouns - People,daughter,noun,女兒,a female child of a parent,Their daughter is studying medicine.,easy
Nouns - People,husband,noun,丈夫,a married man,Her husband cooks dinner.,easy
Nouns - People,wife,noun,妻子,a married woman,His wife is a nurse.,easy
Nouns - People,grandparent,noun,祖父母,a parent's parent,My grandparents live in the countryside.,easy
Nouns - People,grandfather,noun,祖父,a parent's father,My grandfather tells great stories.,easy
Nouns - People,grandmother,noun,祖母,a parent's mother,My grandmother bakes every weekend.,easy
Nouns - People,grandchild,noun,孫子孫女,a child of your son or daughter,She loves her grandchildren.,easy
Nouns - People,cousin,noun,表兄弟姐妹,a child of your aunt or uncle,My cousin visited last summer.,easy
Nouns - People,uncle,noun,叔叔伯伯,a parent's brother,My uncle gave me great advice.,easy
Nouns - People,aunt,noun,阿姨姑姑,a parent's sister,My aunt taught me to cook.,easy
Nouns - People,nephew,noun,侄子外甥,a brother's or sister's son,My nephew just turned five.,easy
Nouns - People,niece,noun,侄女外甥女,a brother's or sister's daughter,My niece loves drawing.,easy
Nouns - People,relative,noun,親戚,a family member,We invited all our relatives.,easy
Nouns - People,neighbor,noun,鄰居,a person living nearby,My neighbor is very friendly.,easy
Nouns - People,colleague,noun,同事,a person you work with,My colleague helped me with the report.,easy
Nouns - People,classmate,noun,同學,a person in your class,My classmate shared her notes.,easy
Nouns - People,roommate,noun,室友,a person you share a room with,My roommate is very tidy.,easy
Nouns - People,partner,noun,伴侶夥伴,a person you are with in life or work,My business partner called.,easy
Nouns - People,stranger,noun,陌生人,a person you do not know,Don't accept rides from strangers.,easy
Nouns - People,guest,noun,客人,a person invited somewhere,We have guests for dinner.,easy
Nouns - People,host,noun,主人,a person who invites guests,The host made everyone feel welcome.,easy
Nouns - People,customer,noun,顧客,a person who buys something,The customer asked for a refund.,easy
Nouns - People,patient,noun,病人,a person receiving medical care,The patient waited to see the doctor.,easy
Nouns - People,student,noun,學生,a person who is learning,The student studied hard.,easy
Nouns - People,teacher,noun,老師,a person who teaches,The teacher explained clearly.,easy
Nouns - People,professor,noun,教授,a senior university teacher,The professor gave a long lecture.,easy
Nouns - People,doctor,noun,醫生,a person trained in medicine,The doctor prescribed medicine.,easy
Nouns - People,nurse,noun,護士,a person who cares for the sick,The nurse checked my temperature.,easy
Nouns - People,police,noun,警察,a person who enforces the law,The police arrived quickly.,easy
Nouns - People,firefighter,noun,消防員,a person who fights fires,The firefighter rescued the cat.,easy
Nouns - People,driver,noun,司機,a person who drives a vehicle,The driver stopped at the red light.,easy
Nouns - People,chef,noun,廚師,a professional cook,The chef prepared a special dish.,easy
Nouns - People,waiter,noun,服務生,a person who serves food,The waiter took our order.,easy
Nouns - People,cashier,noun,收銀員,a person who handles payments,The cashier gave me wrong change.,easy
Nouns - People,manager,noun,經理,a person in charge of a team,My manager approved my leave.,easy
Nouns - People,boss,noun,老闆,a person in authority,My boss gave me more responsibility.,easy
Nouns - People,employee,noun,員工,a person who works for someone,The company has 50 employees.,easy
Nouns - People,volunteer,noun,志工,a person who works without pay,Volunteers helped clean the park.,easy
Nouns - People,expert,noun,專家,a person with great knowledge,Consult an expert before deciding.,easy
Nouns - People,lawyer,noun,律師,a person trained in law,She hired a lawyer.,easy
Nouns - People,engineer,noun,工程師,a person who designs systems,The engineer fixed the issue.,easy
Nouns - People,accountant,noun,會計師,a person who manages finances,The accountant filed the tax return.,easy
Nouns - People,scientist,noun,科學家,a person who studies science,Scientists made a discovery.,easy
Nouns - People,artist,noun,藝術家,a person who creates art,The artist held an exhibition.,easy
Nouns - People,musician,noun,音樂家,a person who plays music,The musician performed on stage.,easy
Nouns - People,athlete,noun,運動員,a person skilled in sports,The athlete trained every morning.,easy
Nouns - People,journalist,noun,記者,a person who reports news,The journalist wrote the story.,easy
Nouns - People,politician,noun,政治家,a person in politics,The politician gave a speech.,easy
Nouns - People,leader,noun,領導者,a person who guides others,A good leader listens to the team.,easy
Nouns - People,member,noun,成員,a person belonging to a group,Every member must pay a fee.,easy
Nouns - People,owner,noun,主人擁有者,a person who owns something,The owner was very friendly.,easy
Nouns - People,citizen,noun,公民,a person belonging to a country,Citizens have the right to vote.,easy
Nouns - People,tourist,noun,遊客,a person travelling for pleasure,Tourists crowded the square.,easy
Nouns - People,passenger,noun,乘客,a person travelling in a vehicle,Passengers boarded the plane.,easy
Nouns - People,audience,noun,觀眾,a group watching something,The audience applauded.,easy
Nouns - People,crowd,noun,人群,a large group of people,A crowd gathered at the scene.,easy
Nouns - People,team,noun,團隊,a group working together,The team finished early.,easy
Nouns - People,couple,noun,情侶夫婦,two people together,The couple walked hand in hand.,easy
Nouns - People,twin,noun,雙胞胎,one of two children born at same time,She has a twin sister.,easy
Nouns - Body,head,noun,頭,the top part of the body,She nodded her head.,easy
Nouns - Body,face,noun,臉,the front of the head,Wash your face before bed.,easy
Nouns - Body,forehead,noun,額頭,the part above the eyes,She wiped sweat from her forehead.,easy
Nouns - Body,cheek,noun,臉頰,the side of the face,The baby has chubby cheeks.,easy
Nouns - Body,chin,noun,下巴,the lower part of the face,He stroked his chin while thinking.,easy
Nouns - Body,jaw,noun,下頷,the bone forming the lower mouth,She clenched her jaw in frustration.,easy
Nouns - Body,eye,noun,眼睛,the organ for seeing,She has bright blue eyes.,easy
Nouns - Body,eyelid,noun,眼瞼,the skin covering the eye,Her eyelids felt heavy.,easy
Nouns - Body,eyebrow,noun,眉毛,the hair above the eye,He raised an eyebrow in surprise.,easy
Nouns - Body,ear,noun,耳朵,the organ for hearing,He covered his ears from the noise.,easy
Nouns - Body,nose,noun,鼻子,the organ for smelling,My nose is runny today.,easy
Nouns - Body,mouth,noun,嘴巴,the opening for eating and talking,Don't talk with your mouth full.,easy
Nouns - Body,lip,noun,嘴唇,either edge of the mouth,She applied lip balm.,easy
Nouns - Body,tongue,noun,舌頭,the muscle inside the mouth,She burned her tongue on hot tea.,easy
Nouns - Body,tooth,noun,牙齒,a hard white structure in the mouth,Brush your teeth twice a day.,easy
Nouns - Body,teeth,noun,牙齒複數,all teeth together,She has very straight teeth.,easy
Nouns - Body,throat,noun,喉嚨,the passage inside the neck,I have a sore throat.,easy
Nouns - Body,neck,noun,脖子,the part connecting head and body,She wore a scarf around her neck.,easy
Nouns - Body,hair,noun,頭髮,the strands growing on the head,She cut her hair short.,easy
Nouns - Body,shoulder,noun,肩膀,the joint connecting arm to body,He rested his hand on her shoulder.,easy
Nouns - Body,arm,noun,手臂,the limb from shoulder to hand,He broke his arm playing football.,easy
Nouns - Body,elbow,noun,手肘,the joint in the middle of the arm,Don't put your elbows on the table.,easy
Nouns - Body,wrist,noun,手腕,the joint between arm and hand,She wore a watch on her wrist.,easy
Nouns - Body,hand,noun,手,the part at the end of the arm,He waved his hand.,easy
Nouns - Body,palm,noun,手掌,the inside part of the hand,She read the lines on his palm.,easy
Nouns - Body,finger,noun,手指,one of the five digits on a hand,She wore a ring on her finger.,easy
Nouns - Body,thumb,noun,拇指,the short thick finger,She gave a thumbs up.,easy
Nouns - Body,nail,noun,指甲,the hard covering on a finger,She painted her nails red.,easy
Nouns - Body,fist,noun,拳頭,a hand with fingers curled in,He knocked with his fist.,easy
Nouns - Body,chest,noun,胸部,the front of the upper body,He felt pain in his chest.,easy
Nouns - Body,back,noun,背部,the rear part of the body,My back hurts from sitting.,easy
Nouns - Body,spine,noun,脊柱,the column of bones in the back,Good posture protects your spine.,easy
Nouns - Body,waist,noun,腰部,the narrow part of the body,She tied a belt around her waist.,easy
Nouns - Body,hip,noun,臀部,the area where the leg meets the body,She placed her hands on her hips.,easy
Nouns - Body,leg,noun,腿,the limb used for walking,My legs ache after the hike.,easy
Nouns - Body,thigh,noun,大腿,the upper part of the leg,She felt a cramp in her thigh.,easy
Nouns - Body,knee,noun,膝蓋,the joint in the middle of the leg,He hurt his knee playing football.,easy
Nouns - Body,calf,noun,小腿肚,the back of the lower leg,Her calves were sore after running.,easy
Nouns - Body,ankle,noun,腳踝,the joint connecting leg and foot,She twisted her ankle.,easy
Nouns - Body,foot,noun,腳,the part at the end of the leg,I hurt my foot while hiking.,easy
Nouns - Body,heel,noun,腳跟,the back of the foot,Her heels hurt in new shoes.,easy
Nouns - Body,toe,noun,腳趾,one of the five digits on a foot,She stubbed her toe.,easy
Nouns - Body,sole,noun,腳底,the bottom surface of the foot,The sole of my shoe is worn.,easy
Nouns - Body,skin,noun,皮膚,the outer layer of the body,Use sunscreen to protect your skin.,easy
Nouns - Body,muscle,noun,肌肉,tissue that produces movement,He exercises to build muscle.,easy
Nouns - Body,bone,noun,骨頭,the hard structure forming the skeleton,Milk helps keep bones strong.,easy
Nouns - Body,joint,noun,關節,where two bones meet,Cold weather affects my joints.,easy
Nouns - Body,blood,noun,血液,the red fluid in the body,He donated blood at the clinic.,easy
Nouns - Body,heart,noun,心臟,the organ that pumps blood,Exercise strengthens the heart.,easy
Nouns - Body,lung,noun,肺,the organ for breathing,Smoking damages the lungs.,easy
Nouns - Body,stomach,noun,胃,the organ that digests food,I have an upset stomach.,easy
Nouns - Body,liver,noun,肝臟,the organ that filters blood,Alcohol harms the liver.,easy
Nouns - Body,kidney,noun,腎臟,the organ that filters waste,She donated a kidney.,easy
Nouns - Body,brain,noun,大腦,the organ that controls the body,The brain needs oxygen to function.,easy
