Category,English Sentence,Traditional Chinese Translation,Grammar / Usage Note
Daily Life,I wake up at seven o'clock every morning.,我每天早上七點起床。,simple present for daily routine
Daily Life,She brushes her teeth before going to bed.,她睡覺前會刷牙。,present simple with before + gerund
Daily Life,We have breakfast together as a family every weekend.,我們每個週末都會全家一起吃早餐。,frequency adverb with present simple
Daily Life,He takes the bus to work because he doesn't have a car.,他搭公車上班，因為他沒有車。,present simple with reason clause
Daily Life,"I usually cook dinner at home, but sometimes I order takeaway.",我通常在家做晚飯，但有時候會點外賣。,contrast using but with frequency adverbs
Daily Life,She goes for a walk in the park every evening after dinner.,她每天晚飯後都會去公園散步。,time expression after dinner
Daily Life,He spends about an hour reading before he falls asleep.,他睡著前大約會花一個小時閱讀。,approximate time expression
Daily Life,I do the laundry on Sundays and clean the bathroom on Saturdays.,我週日洗衣服，週六打掃浴室。,listing actions on specific days
Daily Life,They always have a family dinner on Friday nights.,他們每週五晚上都會一起吃家庭晚餐。,frequency adverb always with present simple
Daily Life,She checks her emails first thing every morning.,她每天早上第一件事就是查電子郵件。,idiomatic expression first thing
Daily Life,I pack my lunch the night before to save time in the morning.,我前一天晚上就把午餐準備好，以節省早上的時間。,infinitive of purpose to save
Daily Life,"He walks the dog twice a day, once in the morning and once in the evening.",他每天遛狗兩次，早上一次，晚上一次。,frequency expression twice a day
Daily Life,We try to eat dinner together at the table rather than in front of the TV.,我們盡量在餐桌上一起吃晚飯，而不是在電視前面。,rather than for contrast
Daily Life,She listens to podcasts while she commutes to work.,她通勤上班時會聽播客。,while + present simple for simultaneous actions
Daily Life,I set three alarms because I'm worried about oversleeping.,我設了三個鬧鐘，因為我擔心睡過頭。,because clause for reason
Daily Life,He always feels better after a hot shower in the morning.,他早上洗完熱水澡後總是感覺好多了。,feel better after doing something
Daily Life,She keeps a journal and writes in it every night before bed.,她有寫日記的習慣，每天晚上睡前都會寫。,habit description with keep + noun
Daily Life,I spend my lunch break going for a short walk to clear my head.,我利用午休時間去短暫散步，讓頭腦清醒。,gerund phrase to clear my head
Daily Life,We take turns cooking dinner so that neither of us gets too tired.,我們輪流做晚飯，這樣就不會有人太累了。,"take turns + gerund, so that clause"
Daily Life,He rarely eats fast food because he prefers home-cooked meals.,他很少吃速食，因為他更喜歡自己做的飯。,rarely + present simple with preference
Daily Life,I try to drink at least eight glasses of water a day.,我每天嘗試至少喝八杯水。,try to + infinitive with at least
Daily Life,She volunteers at the local food bank every other Saturday.,她每隔一個週六都會在當地的食物銀行做志工。,every other for alternate frequency
Daily Life,We go to the farmers market on weekend mornings to buy fresh produce.,我們週末早上去農夫市集買新鮮農產品。,purpose expressed with to + infinitive
Daily Life,He keeps his workspace tidy so that he can focus better.,他保持工作區整潔，這樣可以更好地專注。,so that clause for purpose
Daily Life,I try to limit my screen time to two hours a day outside of work.,我盡量將工作以外的螢幕時間限制在每天兩小時。,limit something to amount
Describing People,She has long dark hair and bright green eyes.,她有一頭深色長髮和明亮的綠眼睛。,physical description with adjectives
Describing People,"He is quite tall, probably around 185 centimetres.",他相當高，大概約185公分。,approximate physical description
Describing People,She always wears colourful clothes and has a very unique sense of style.,她總是穿著色彩鮮豔的衣服，有著非常獨特的穿衣風格。,describing personal style
Describing People,He is one of the kindest and most generous people I have ever met.,他是我見過的最善良、最慷慨的人之一。,superlative with one of the
Describing People,"She tends to be quite shy at first, but she opens up once she gets to know you.",她一開始往往很害羞，但一旦了解你之後就會敞開心扉。,contrast using but with once clause
Describing People,He is very hardworking and rarely takes a day off.,他非常勤奮，很少請假。,adverb of frequency with positive trait
Describing People,She has a wonderful sense of humour and always makes everyone laugh.,她有很好的幽默感，總是讓大家開懷大笑。,describing personality with sense of humour
Describing People,"He speaks very quietly, so you have to listen carefully when he talks.",他說話很輕聲，所以聽他說話時要仔細聆聽。,descriptive so clause for consequence
Describing People,She is incredibly patient with children and would make a wonderful teacher.,她對孩子非常有耐心，會是一位很出色的老師。,would make + noun for potential
Describing People,He is the kind of person who always puts others before himself.,他是那種總是先考慮別人的人。,the kind of person who clause
Describing People,She is very driven and ambitious; she always knows what she wants.,她非常有上進心和抱負，她總是知道自己想要什麼。,semi-colon for related ideas
Describing People,"He can be a bit impatient at times, but his heart is always in the right place.",他有時可能有點不耐煩，但他的出發點總是好的。,acknowledging flaw with but
Describing People,She is extremely creative and is always coming up with new ideas.,她非常有創意，總是不斷想出新點子。,always + present continuous for habitual behaviour
Describing People,He is a very private person and doesn't like to share too much about himself.,他是一個非常注重隱私的人，不喜歡分享太多關於自己的事。,describing introversion politely
Describing People,She is well-organised and always meets her deadlines without any stress.,她很有條理，總是能在沒有壓力的情況下按時完成任務。,well-organised with positive result
Describing People,He has a very calming presence; just being around him makes you feel at ease.,他有一種非常令人安心的氣質；只要在他身邊就會讓你感到放鬆。,semi-colon with descriptive clause
Describing People,"She grew up in a small town, which shaped her down-to-earth personality.",她在一個小鎮長大，這塑造了她腳踏實地的個性。,which clause for additional context
Describing People,"He volunteers every weekend, which shows how caring he really is.",他每個週末都做志工，這顯示了他有多體貼。,which clause to draw a conclusion
Describing People,She is the most reliable person on the team; everyone trusts her completely.,她是團隊中最可靠的人；大家都完全信任她。,superlative followed by supporting statement
Describing People,"He tends to overthink things, but that also means he is very thorough.",他往往想太多，但這也意味著他非常細心。,acknowledging weakness as strength
Describing Places,The city is very modern and has a lot to offer in terms of culture and entertainment.,這座城市非常現代化，在文化和娛樂方面有很多可以提供的東西。,in terms of for specifying area
Describing Places,"The village is small and quiet, surrounded by rolling hills and green fields.",這個村莊小而寧靜，四周是連綿起伏的山丘和綠色的田野。,descriptive adjectives with surrounded by
Describing Places,"The beach is stunning, with white sand and crystal-clear water.",這片海灘令人驚嘆，有白色的沙灘和清澈見底的海水。,with clause adding detail to a description
Describing Places,The restaurant has a very cosy atmosphere and the lighting is warm and soft.,這家餐廳氣氛非常溫馨，燈光溫暖柔和。,atmosphere description with adjectives
Describing Places,"The park is always busy on weekends, especially in summer.",這個公園週末總是很熱鬧，尤其是夏天。,especially for emphasis
Describing Places,The city centre can get quite noisy and crowded during peak hours.,市中心在高峰時段會相當嘈雜和擁擠。,can get + adjective for tendency
