Category,English Sentence,Traditional Chinese Translation,Grammar / Usage Note
Feelings & Emotions,I felt so relieved when I heard that the operation had gone well.,當我聽說手術進展順利時，我感到非常鬆了一口氣。,felt relieved + when clause
Feelings & Emotions,She was overwhelmed with emotion when she crossed the finish line.,當佢衝過終點線嗰陣，佢非常激動 / 百感交集。,overwhelmed with emotion + when clause
Feelings & Emotions,He felt guilty about missing his friend's birthday party even though he had a good reason.,即使他有充分的理由，他仍然對錯過朋友的生日派對感到愧疚。,felt guilty + even though clause
Feelings & Emotions,I was devastated when I found out I hadn't got the job I had been preparing for.,當我知我拎唔到份工嗰陣，我好難受 / 崩潰。,was devastated + when + past perfect
Feelings & Emotions,She was so excited about the trip that she couldn't sleep the night before.,她對旅行太興奮了，以至於前一晚無法入睡。,so excited that + consequence
Feelings & Emotions,"He gets anxious in crowded places and prefers smaller, quieter environments.",他在擁擠的地方會感到焦慮，更喜歡更小、更安靜的環境。,gets anxious in + prefers for personality description
Feelings & Emotions,I sometimes feel lonely even when I am surrounded by people.,即使周圍有很多人，我有時也會感到孤獨。,even when clause for paradox
Feelings & Emotions,She felt incredibly proud of herself after completing the marathon.,完成馬拉松後，她為自己感到非常驕傲。,felt proud of herself + after + gerund
Feelings & Emotions,He was deeply moved by the kindness of strangers during a difficult time.,在困難時期，陌生人的善意深深地感動了他。,was deeply moved by + noun phrase
Feelings & Emotions,I feel most content when I am spending quality time with the people I love.,當我和我愛的人共度美好時光時，我感到最滿足。,feel most + adjective + when clause
Feelings & Emotions,She struggled with self-doubt for years before she finally believed in her own abilities.,她掙扎於自我懷疑多年，才最終相信自己的能力。,struggled with + before finally
Feelings & Emotions,He admitted that he had been bottling up his feelings and needed to talk to someone.,他承認他一直在壓抑自己的情緒，需要找人傾訴。,admitted that + past perfect continuous
Feelings & Emotions,I find it helpful to write down my thoughts when I am feeling stressed or overwhelmed.,當我感到壓力或不知所措時，我發現把想法寫下來很有幫助。,I find it helpful + to + infinitive + when clause
Feelings & Emotions,She experienced a wave of nostalgia when she heard the song that had played at her graduation.,當她聽到她畢業典禮上播放的那首歌時，她感到了一陣懷舊之情。,experienced a wave of + when clause
Feelings & Emotions,"He tries not to let his emotions affect his professional decisions, but it isn't always easy.",他盡量不讓情緒影響他的職業決策，但這並不總是容易的。,tries not to + but clause for honesty
Relationships,She has been best friends with her neighbour since they were both five years old.,她和鄰居從五歲開始就是最好的朋友了。,present perfect with since for lifelong friendship
Relationships,He and his partner met at university and have been together for over twelve years.,他和他的伴侶在大學相識，已經在一起超過十二年了。,past simple + present perfect continuous
Relationships,"I find that strong relationships are built on trust, communication, and mutual respect.",我發現牢固的關係是建立在信任、溝通和相互尊重上的。,I find that + are built on + list
Relationships,She apologised for her behaviour and made a genuine effort to repair the friendship.,她為自己的行為道歉，並真誠地努力修復友誼。,past simple + made a genuine effort to
Relationships,He keeps in contact with his old school friends despite living in different countries.,儘管住在不同的國家，他仍與老同學保持聯繫。,despite + gerund for contrast
Relationships,I think it is important to make time for the people who matter most in your life.,我認為為生命中最重要的人騰出時間是很重要的。,I think it is important to + infinitive
Relationships,She supported him unconditionally through a very difficult period in his life.,她在他生命中非常困難的時期無條件地支持他。,past simple with unconditionally for loyalty
Relationships,He finds it difficult to open up to people he doesn't know very well.,他發現很難向他不太熟悉的人敞開心扉。,finds it difficult to + infinitive + who clause
Relationships,I realised how much my family meant to me when I moved abroad for the first time.,當我第一次出國時，我意識到家人對我來說有多重要。,realised how much + when clause
Relationships,She grew up in a very close-knit family where everyone looked out for each other.,她在一個非常緊密的家庭中長大，每個人都互相照顧。,grew up in + where clause
Relationships,He has been a mentor to many junior colleagues over the course of his career.,在他的職業生涯中，他是許多初級同事的導師。,present perfect for career-long role
Relationships,I try to be a good listener rather than always offering advice when friends come to me with problems.,當朋友帶著問題找我時，我盡量做一個好的傾聽者，而不是總是提供建議。,try to be + rather than + when clause
Relationships,"She forgave him for the mistake, which showed just how strong their friendship was.",她原諒了他的錯誤，這表明了他們的友誼有多深厚。,past simple + which showed how
Relationships,He was the first person I called when I received the good news.,他是我收到好消息時第一個打電話的人。,first person + when clause for closeness
Relationships,I have learned that relationships require constant effort and cannot be taken for granted.,我了解到關係需要持續的努力，不能視為理所當然。,have learned that + cannot be taken for granted
Comparisons,"Living in the city is much more convenient than living in the countryside, but it can also be much more stressful.",住在城市比住在農村方便得多，但也可能壓力大得多。,comparative adjectives with but for contrast
Comparisons,"She is far more organised than her brother, who tends to leave everything to the last minute.",她比她的哥哥有條理得多，她的哥哥往往把所有事情都留到最後一刻。,far more + who clause for contrast
Comparisons,"This year's results are significantly better than last year's, which is a reflection of the team's hard work.",今年的結果比去年好得多，這反映了團隊的努力。,significantly better than + which clause
Comparisons,"He is not nearly as experienced as his colleague, but he makes up for it with his enthusiasm.",他遠沒有他的同事有經驗，但他用熱情彌補了這一點。,not nearly as... as + but makes up for it
Comparisons,The new version of the app is twice as fast and uses half the battery life of the old one.,新版本的應用程式速度是舊版本的兩倍，電池消耗只有舊版的一半。,twice as + adjective + half the noun
Comparisons,"Renting is generally cheaper in the short term, whereas buying is more cost-effective in the long run.",短期來看租房通常更便宜，而長期來看買房更具成本效益。,whereas for formal contrast with time expressions
Comparisons,She speaks French far more fluently than she did when she first moved to Paris.,她說法語比她剛搬到巴黎時流利得多。,comparative + than + when clause for progress
Comparisons,The older model was simpler but more reliable; the newer one has more features but breaks down more often.,舊型號更簡單但更可靠；新型號功能更多但更容易出故障。,semi-colon for parallel comparison
Comparisons,"He prefers reading physical books to reading on a screen, even though e-books are more portable.",即使電子書更便攜，他仍然更喜歡讀實體書而不是在螢幕上閱讀。,prefer + gerund to + gerund + even though
Comparisons,"The second interview was much harder than the first, which caught her off guard.",第二次面試比第一次難多了，這讓她措手不及。,much harder than + which caught off guard
Comparisons,"Working collaboratively is often more effective than working alone, provided everyone contributes equally.",只要每個人都平等地做出貢獻，協作工作往往比單獨工作更有效。,comparative + provided clause for condition
Comparisons,"She earns considerably more than she did five years ago, yet she lives just as simply.",她的收入比五年前多得多，但她的生活依然同樣簡樸。,considerably more + yet + just as for contrast
Comparisons,"The countryside is far quieter than the city, but it lacks the entertainment options that city life offers.",農村比城市安靜得多，但缺乏城市生活所提供的娛樂選擇。,far quieter + but lacks for trade-off
Comparisons,"This café is not as well-known as the one on the main street, but the coffee is just as good.",這家咖啡廳不像大街上那家那麼有名，但咖啡品質同樣好。,not as + as + but just as
Comparisons,"He runs much faster than average for his age, which is a testament to years of dedicated training.",他的跑步速度比同齡人平均快得多，這證明了多年的專注訓練。,much faster than + which is a testament to
Cause & Effect,She missed the deadline because she had underestimated how long the project would take.,她錯過了截止日期，因為她低估了這個專案需要多長時間。,because + past perfect for reason
Cause & Effect,He failed the exam as a result of not studying enough in the weeks leading up to it.,他考試不及格，原因是在考試前幾週學習不夠努力。,as a result of + gerund phrase
Cause & Effect,The company lost several clients due to poor communication and slow response times.,由於溝通不暢和回應時間慢，公司失去了幾個客戶。,due to + noun list for cause
Cause & Effect,She was so tired after the long journey that she fell asleep as soon as she got home.,她長途旅行後太累了，一回到家就睡著了。,so tired that + as soon as clause
Cause & Effect,"He invested heavily in his education, which led to better job opportunities later in life.",他在教育上投入了大量資金，這在他的後半生帶來了更好的工作機會。,which led to for chain effect
Cause & Effect,"The heavy rain caused flooding throughout the city, resulting in major disruptions to transport.",大暴雨導致整個城市發生洪水，造成交通嚴重中斷。,caused + present participle for cascading effect
Cause & Effect,I started feeling much better once I changed my diet and began exercising regularly.,一旦我改變了飲食並開始定期運動，我就開始感覺好多了。,once clause for trigger of improvement
Cause & Effect,She earned a promotion owing to her consistently excellent performance over the past year.,由於她在過去一年中始終如一的出色表現，她獲得了晉升。,owing to + noun phrase for formal reason
Cause & Effect,The project succeeded largely because the team communicated openly and worked well together.,這個專案的成功主要是因為團隊坦誠溝通並相互合作。,largely because + clause for primary reason
Cause & Effect,He developed a strong interest in environmental issues as a consequence of reading a powerful book.,他因閱讀了一本有力的書而對環境問題產生了濃厚的興趣。,as a consequence of + gerund
Cause & Effect,Their relationship improved dramatically once they started having honest conversations.,一旦他們開始進行坦誠的對話，他們的關係就顯著改善了。,once clause for trigger with dramatic result
Cause & Effect,"The lack of sleep led to poor concentration, which affected her overall productivity.",睡眠不足導致注意力不集中，影響了她的整體生產力。,led to + which affected for chain
Cause & Effect,He was unable to attend the conference due to a last-minute change in his schedule.,由於日程安排在最後一刻發生變化，他無法參加會議。,due to + noun phrase for formal excuse
Cause & Effect,"Since she started meditating daily, she has noticed a significant reduction in her anxiety levels.",自從她開始每天冥想以來，她注意到自己的焦慮水準顯著降低。,since clause + present perfect for change
Cause & Effect,The new policy had unintended consequences that made the situation more complicated than before.,新政策產生了意想不到的後果，使情況比以前更加複雜。,had unintended consequences + that clause
Conditionals,"If I have enough time this weekend, I will visit my grandparents.",如果我這個週末有足夠的時間，我會去探望祖父母。,first conditional for likely future
Conditionals,"If she studies consistently, she will pass her exams without any problems.",如果她持續用功學習，她會毫無問題地通過考試。,first conditional for expected outcome
Conditionals,"If he gets the promotion, he is going to take his family on a holiday to celebrate.",如果他獲得晉升，他打算帶家人去度假慶祝。,first conditional with going to
Conditionals,"If you don't leave now, you will miss the last train.",如果你現在不出發，你會錯過最後一班火車。,first conditional negative for warning
Conditionals,"If I were you, I would think carefully before making such an important decision.",如果我是你，我會在做這麼重要的決定之前仔細考慮。,second conditional with If I were you for advice
Conditionals,She would travel more often if she had more annual leave from work.,如果她有更多年假，她會更經常旅行。,second conditional for hypothetical wish
Conditionals,He would apply for the job if he felt more confident about his qualifications.,如果他對自己的資格更有信心，他會申請這份工作。,second conditional for confidence barrier
Conditionals,"If I won the lottery, I would pay off my mortgage and donate the rest to charity.",如果我中了樂透，我會還清房貸並把剩下的捐給慈善機構。,second conditional for hypothetical windfall
Conditionals,She would be so much happier if she spent less time worrying about things she cannot control.,如果她少花時間擔心她無法控制的事情，她會快樂得多。,second conditional with comparative result
