Category,English Phrase,Traditional Chinese,Usage Note,Difficulty
Work & Professional,I'd like to organise a meeting.,我想安排一個會議。,requesting to set up a meeting,intermediate
Work & Professional,Are you available on...?,你⋯有空嗎？,asking about someone's availability,intermediate
Work & Professional,Can we move the meeting to...?,我們可以把會議改到⋯嗎？,requesting to reschedule a meeting,intermediate
Work & Professional,Let's get started.,我們開始吧。,beginning a meeting,intermediate
Work & Professional,Shall we go through the agenda?,我們來看一下議程嗎？,proposing to review the meeting agenda,intermediate
Work & Professional,Can I have everyone's attention?,可以請大家注意一下嗎？,getting a group's attention,intermediate
Work & Professional,I'd like to raise a point.,我想提出一個觀點。,asking to speak in a meeting,intermediate
Work & Professional,Could you elaborate on that?,你可以詳細說明那個嗎？,asking for more detail on a point,intermediate
Work & Professional,Let's table that for now.,我們先把那個擱置吧。,postponing a topic for later,intermediate
Work & Professional,To summarise what we've discussed...,總結我們討論的內容⋯,summarising a meeting discussion,intermediate
Work & Professional,Let's follow up on this next week.,我們下週再跟進這件事。,agreeing to revisit something later,intermediate
Work & Professional,I'll send you the minutes.,我會把會議記錄寄給你。,saying you'll share meeting notes,intermediate
Work & Professional,Could you handle that?,你搞唔搞得定？,delegating a task,intermediate
Work & Professional,I'll take care of it.,我搞定佢。 / 我跟進。,accepting responsibility for a task,intermediate
Work & Professional,What's the deadline for this?,這個的截止日期是什麼時候？,asking when something is due,intermediate
Work & Professional,We're behind schedule.,我們落後進度了。,saying progress is slower than planned,intermediate
Work & Professional,We're on track.,我們進度正常。,saying everything is going as planned,intermediate
Work & Professional,Can you give me an update?,你可以給我一個進度更新嗎？,asking for a status report,intermediate
Work & Professional,I'll keep you posted.,我會隨時讓你知道最新進展。,saying you'll update someone regularly,intermediate
Work & Professional,This is urgent.,這很緊急。,saying something needs immediate attention,intermediate
Work & Professional,Can this wait until tomorrow?,這可以等到明天嗎？,asking if something is time-sensitive,intermediate
Work & Professional,I'd like to apply for this position.,我想應徵這個職位。,expressing interest in a job,intermediate
Work & Professional,Can I have a reference?,我可以請你當推薦人嗎？,asking someone to be a reference,intermediate
Work & Professional,I'd like to discuss my salary.,我想討論我的薪資。,requesting a salary discussion,intermediate
Work & Professional,I'd like to request some time off.,我想申請一些假期。,requesting leave from work,intermediate
Work & Professional,I'm working from home today.,我今天在家工作。,saying you are working remotely,intermediate
Work & Professional,Could you review this for me?,你可以幫我審閱這個嗎？,asking someone to check your work,intermediate
Work & Professional,I'll forward that email to you.,我會把那封電子郵件轉發給你。,saying you'll share an email,intermediate
Work & Professional,Let's circle back on this later.,我們稍後再回來討論這個。,suggesting to return to a topic later,intermediate
Education & Studying,I don't understand this.,我不懂這個。,saying you don't comprehend something,intermediate
Education & Studying,Can you go over that more slowly?,你可以慢慢地再講一遍嗎？,asking for a slower explanation,intermediate
Education & Studying,Is this going to be on the exam?,這個會考嗎？,asking if something will be tested,intermediate
Education & Studying,When is the assignment due?,作業什麼時候要交？,asking for a deadline,intermediate
Education & Studying,Can I hand it in late?,我可以晚一點交嗎？,asking for a deadline extension,intermediate
